,x,y,sig_xx,sig_xy,sig_yy,sig_nn,sig_nt,f_y,shape_deriv,C
1082,6.286718316803695,0.006210206093254794,1.1364189011085366,0.060793140138596415,0.02076437271390176,0.018448329165003056,0.03326465627211826,0.019261586976062273,-0.024623622160677035,0.05774670073767819
1083,6.292734884249807,0.006060955735588231,1.133073228355949,0.06168983373004083,0.02042027283440425,0.01803349472656856,0.033827254692720035,0.018872877960539457,-0.024987970804565857,0.06212242337919031
1084,6.298221472325372,0.005922963653516983,1.12996087127372,0.06252820327539971,0.02010186629313998,0.017649063148301607,0.03437287162630507,0.018513194640270382,-0.025312446178079873,0.05762426063239207
1085,6.304385531683594,0.005765835557226369,1.1264403606541524,0.06327037647331281,0.019663459814637563,0.017146265226483305,0.03479700339673483,0.018033495416357227,-0.025668012015026827,0.05612268024037826
1086,6.309872474273825,0.005624146838564201,1.1232263585953566,0.06396960192924994,0.019266287262262018,0.016689547133265203,0.03522573157054101,0.017598649143349875,-0.025976425934184234,0.05761466077005146
1087,6.315888080159407,0.005466887779309064,1.119827444360592,0.06469736563517256,0.018939094881730203,0.016298907774978312,0.03566829552844841,0.017231225716266743,-0.026305682254599175,0.05083522487793056
1088,6.321679307541808,0.005313649373291252,1.1163501521813486,0.06544838806718674,0.018598718713700488,0.01589450591559782,0.036161101451927025,0.016850922942388963,-0.02661378300329378,0.05561275170297405
1089,6.327318989135296,0.005162730135496438,1.1129980531469736,0.0661111818117952,0.018335907693692963,0.01557284212349231,0.03658456702084595,0.01655117328558809,-0.02690535573930587,0.04869966356101238
1090,6.333427476631562,0.004997438468447865,1.109396522639786,0.06684720364788763,0.018043437991371994,0.01521560615340218,0.03707275284360028,0.016218412803580256,-0.027211635059047137,0.05022157571479038
1091,6.338877190359187,0.004848417516444384,1.106089325972199,0.06744734114047168,0.01774490413492603,0.014862306429717708,0.0374643206868135,0.01588569677893263,-0.027476428687273215,0.048111894863892106
1092,6.345018788145134,0.004678776488369358,1.1023926448049541,0.06815823876798284,0.017425101743511487,0.014478928344429827,0.037952115356340785,0.015526692119735886,-0.027765183751006933,0.04463210419402987
1093,6.350588658117358,0.004523419806022611,1.0990342062309701,0.06885750976689198,0.017059703105747125,0.014052913589376015,0.0384583706769261,0.015124509621174342,-0.028018123669243684,0.0470722953007912
1094,6.356468254607434,0.004357922018625966,1.0953671283179764,0.06949161403750766,0.016729343248626367,0.013664323747203512,0.03890558097220085,0.014758512227003607,-0.028275819980392383,0.04036830209242958
1095,6.362409448225918,0.004189180506533639,1.0915811178594101,0.07014642395650635,0.016331355628276974,0.01320683749487177,0.03938427097571953,0.014324502437516788,-0.02852641647385823,0.043355907928391564
1096,6.367938829565338,0.004030823222210596,1.0880888267244329,0.0707735298174614,0.015979269014855198,0.012798528626871227,0.03985816406781207,0.013938719665465383,-0.028750716451840894,0.03873849249758621
1097,6.374094905918851,0.003853088918247794,1.0840952417937646,0.07141503194513084,0.015504003488220265,0.012264129888378923,0.04034240281357786,0.01342802388030949,-0.02899022942705002,0.037953319906451684
1098,6.379553972063519,0.00369427013963834,1.0804501271841969,0.07193455234595493,0.015001945837958018,0.011712741233907734,0.040734308522723084,0.012896426109223688,-0.0291935558226058,0.03739225339703284
1099,6.385629216831266,0.003516250073902827,1.0764444765510346,0.07246718435442065,0.014527602129576059,0.011186497081183919,0.04113823033639965,0.012391003967771114,-0.029409734736271377,0.03294943567067701
